"acousticness" "duration" "energy" "liveness" "loudness" "tempo"
"265" 0.614 179893 0.351 0.0914 -12.518 94.293
"266" 0.307 190667 0.825 0.12 -7.741 101.072
"267" 0.732 314133 0.326 0.115 -16.283 112.546
"268" 0.988 203653 0.445 0.42 -12.024 78.084
"269" 0.727 183000 0.14 0.348 -15.666 76.744
"270" 0.0928 196933 0.657 0.119 -4.787 133.188
"271" 0.816 520173 0.266 0.128 -13.881 80.329
"272" 0.655 164800 0.809 0.909 -7.492 137.443
"273" 0.941 235773 0.00905 0.12 -29.899 105.794
"274" 0.000131 204040 0.879 0.0756 -9.102 95.456
"275" 0.211 314307 0.589 0.0834 -10.274 82.577
"276" 0.969 266400 0.0862 0.18 -20.471 72.751
"277" 0.082 269600 0.572 0.253 -6.923 108.408
"278" 0.981 203733 0.302 0.627 -14.989 128.64
"279" 0.824 188400 0.308 0.0925 -15.669 113.088
"280" 0.99 208973 0.253 0.129 -11.934 88.029
"281" 0.994 165820 0.22 0.629 -11.113 121.349
"282" 0.0104 179600 0.702 0.38 -9.404 92.324
"283" 0.000968 330240 0.935 0.228 -4.658 143.893
"284" 0.188 307027 0.422 0.368 -12.098 149.064
"285" 0.868 147603 0.264 0.392 -8.828 182.73
"286" 0.975 201907 0.341 0.0784 -7.955 129.104
"287" 0.169 325387 0.619 0.173 -8.847 85.21
"288" 2.77e-06 273413 0.951 0.444 -7.866 114.231
"289" 0.895 217507 0.272 0.23 -14.535 110.341
"290" 0.991 402440 0.0203 0.0858 -24.1 101.747
"291" 0.123 471368 0.202 0.595 -19.382 65.515
"292" 0.783 120520 0.209 0.0486 -12.41 124.304
"293" 0.000679 256800 0.883 0.145 -5.554 135.937
"294" 0.993 179908 0.139 0.87 -17.831 204.595
"295" 0.269 145560 0.748 0.117 -5.222 82.397
"296" 0.736 329427 0.087 0.092 -20.949 61.796
"297" 0.689 141893 0.245 0.117 -20.956 151.246
"298" 0.199 458933 0.656 0.793 -9.854 97.943
"299" 0.519 338013 0.704 0.104 -6.817 101.823
"300" 0.00187 299733 0.645 0.0424 -6.595 89.518
"301" 0.854 177467 0.144 0.0876 -12.496 120.221
"302" 0.118 192229 0.561 0.0737 -7.418 90.021
"303" 0.945 172907 0.196 0.101 -11.913 104.151
"304" 0.934 259773 0.112 0.0735 -17.747 142.126
"305" 0.0472 270867 0.964 0.323 -3.779 142.75
"306" 0.405 267133 0.413 0.125 -13.067 128.871
"307" 0.995 186985 0.0816 0.11 -16.629 129.355
"308" 0.99 230920 0.0253 0.0753 -20.313 81.955
"309" 0.579 310293 0.41 0.447 -10.045 111.353
"310" 0.115 208500 0.808 0.596 -4.52 169.203
"311" 0.755 256240 0.249 0.0927 -13.619 110.636
"312" 0.733 143510 0.414 0.392 -11.028 132.804
"313" 0.635 96500 0.185 0.145 -16.846 171.023
"314" 0.595 179933 0.589 0.136 -5.466 113.018
"315" 0.952 296080 0.246 0.0864 -11.406 98.347
"316" 0.947 179907 0.041 0.142 -20.696 124.457
"317" 0.991 295773 0.109 0.103 -18.91 92.311
"318" 0.929 418377 0.176 0.0981 -11.291 105.338
"319" 0.126 241160 0.776 0.342 -8.257 132.971
"320" 0.865 142200 0.287 0.934 -14.668 104.292
"321" 0.922 145293 0.0611 0.338 -20.999 101.946
"322" 0.937 225529 0.0528 0.116 -17.295 121.263
"323" 0.394 240293 0.375 0.126 -12.586 119.946
"324" 0.162 217327 0.73 0.114 -9.527 128.967
"325" 0.592 160680 0.583 0.0789 -6.935 75.552
